SIRV	2485	7337	2	2	1	529	1	50
SIRV	2485	8552	2	2	1	185	1	50
SIRV	7474	7560	2	2	1	635	0	50
SIRV	7814	8552	2	2	1	898	2	50
SIRV	8605	8698	2	2	1	1	1	35
SIRV	8687	8741	1	3	1	1	0	46
SIRV	8809	11553	2	4	1	325	0	50
SIRV	8815	11282	2	2	1	942	0	50
SIRV	11367	11444	2	2	1	396	0	50
SIRV	11367	11593	2	2	1	55	0	41
SIRV	11367	11647	2	2	1	360	0	50
SIRV	11792	11882	1	1	1	620	0	50
SIRV	12058	12434	1	1	1	464	0	50
SIRV	12243	12403	0	0	1	43	0	49
SIRV	16305	16384	2	2	1	224	0	49
SIRV	16497	16616	2	2	1	239	0	48
SIRV	16708	17317	2	2	1	185	0	50
SIRV	17446	17524	2	2	1	194	0	48
SIRV	17654	17748	2	2	1	206	0	49
SIRV	17969	18308	2	2	1	63	0	48
SIRV	18018	18308	2	2	1	80	0	49
SIRV	18469	18609	2	2	1	593	0	50
SIRV	18738	18981	2	2	1	360	0	50
SIRV	19123	19330	2	2	1	528	1	50
SIRV	19444	20394	2	2	1	266	0	50
SIRV	19444	20431	2	2	1	204	1	50
SIRV	23722	24086	2	2	1	31	0	46
SIRV	24319	24456	2	2	1	19	0	44
SIRV	24560	26557	1	1	1	295	0	50
SIRV	24560	27122	1	1	1	98	0	49
SIRV	24560	28611	1	1	1	298	0	34
SIRV	26635	27122	1	1	1	229	0	50
SIRV	26635	27128	1	1	1	91	0	50
SIRV	26635	28611	1	1	1	176	0	50
SIRV	27329	28611	1	1	1	221	0	50
SIRV	27334	28611	1	1	1	947	0	50
SIRV	27334	29124	1	1	1	128	0	50
SIRV	28888	29824	1	1	1	465	0	50
SIRV	28888	31309	1	1	1	225	0	50
SIRV	29921	30426	1	5	1	320	1	50
SIRV	30543	30678	1	1	1	337	1	49
SIRV	30543	30681	1	1	1	26	0	47
SIRV	30762	31309	1	1	1	459	0	50
SIRV	31521	31743	2	2	1	420	0	50
SIRV	31530	31743	2	2	1	132	0	50
SIRV	31853	31988	2	2	1	73	0	48
SIRV	31879	32221	2	2	1	261	0	49
SIRV	35844	36175	1	1	1	87	0	50
SIRV	36383	36748	1	1	1	45	0	49
SIRV	36383	36886	1	1	1	125	0	49
SIRV	38601	39504	2	2	1	56	0	48
SIRV	42870	43126	2	2	1	184	0	50
SIRV	43245	43343	2	2	1	452	0	50
SIRV	43488	48169	2	2	1	1225	0	49
SIRV	48320	49089	2	2	1	103	0	23
SIRV	48326	49516	2	6	1	1034	0	50
SIRV	52763	53606	1	3	1	445	0	50
SIRV	52769	53544	1	1	1	593	0	50
SIRV	52769	53606	1	1	1	2350	0	50
SIRV	53653	53738	1	1	1	2432	0	47
SIRV	53776	53889	1	1	1	1840	0	37
SIRV	53935	54917	1	1	1	1475	0	50
SIRV	54108	54917	1	1	1	674	0	50
SIRV	55024	55102	1	1	1	1877	0	50
SIRV	55263	56999	1	1	1	2089	0	50
SIRV	57070	57162	1	1	1	1875	1	50
SIRV	57246	57730	1	1	1	1858	0	50
SIRV	57789	57946	1	1	1	1941	0	50
SIRV	58069	58274	2	2	1	1	0	45
SIRV	58072	58277	1	1	1	774	0	50
SIRV	58072	58445	1	1	1	810	0	50
SIRV	58342	58445	1	1	1	722	0	49
SIRV	58577	58763	1	1	1	1462	0	50
SIRV	58927	59300	1	1	1	1669	1	50
SIRV	59382	59489	1	1	1	1232	0	50
SIRV	59636	59896	1	1	1	1067	0	50
SIRV	60001	60073	1	1	1	1145	0	50
SIRV	60205	62477	1	1	1	1669	0	50
SIRV	62611	62752	1	1	1	546	0	50
SIRV	62611	62930	1	1	1	102	0	50
SIRV	68412	68693	1	1	1	1624	1	50
SIRV	68607	68693	1	1	1	593	0	50
SIRV	68760	68865	1	1	1	2447	2	50
SIRV	68961	69070	1	1	1	1200	0	50
SIRV	68961	69695	1	1	1	426	0	50
SIRV	68961	70005	1	1	1	72	0	48
SIRV	69252	69695	1	3	1	410	0	50
SIRV	69846	69965	1	1	1	1807	0	50
SIRV	70040	70331	1	1	1	34	0	49
SIRV	70054	70331	1	1	1	1779	1	49
SIRV	70390	74329	1	1	1	222	0	49
SIRV	70390	75030	1	1	1	48	0	47
SIRV	70390	77949	1	1	1	1426	0	49
SIRV	74674	75030	1	1	1	197	0	49
SIRV	75149	77949	1	1	1	275	0	50
SIRV	78044	78256	1	1	1	1084	8	50
SIRV	78044	78259	1	1	1	244	0	50
SIRV	78334	78430	1	1	1	1021	0	50
SIRV	83738	84055	2	2	1	643	0	49
SIRV	84174	84871	2	2	1	181	0	50
SIRV	84174	85157	2	2	1	234	0	50
SIRV	84174	124090	2	2	1	193	0	50
SIRV	84959	195742	2	2	1	222	0	50
SIRV	85242	85787	2	2	1	402	0	50
SIRV	85873	124090	2	2	1	366	0	50
SIRV	124140	195742	2	2	1	500	0	50
SIRV	137160	151945	2	2	1	399	0	50
SIRV	137160	159903	2	2	1	279	0	50
SIRV	152050	159903	2	2	1	283	1	50
SIRV	159971	159990	2	2	1	125	0	43
SIRV	160026	195742	2	2	1	313	0	50
SIRV	160026	195748	2	4	1	129	0	35
SIRV	196023	228670	2	2	1	205	0	50
SIRV	196051	228670	2	2	1	517	0	50
